"cell","vpu","HUC4","area_Estimate","AISP_mgafdm_est","AISP_mgafdm_LowQ","AISP_mgafdm_HiQ","Emer_gAFDM","Total_Emerg_gafdm","Total_Emerg_kJ"
10883778,"10U",904,17025.2129478753,6120.45415419281,2061.11,49342.5135163217,1.17234912346443,19959.4934762369,229663.911684319
10890823,"17",1701,230943.489610527,729.510799007331,35.163,14883.374,0.139734948457738,32270.8766173771,371324.84179785
10890848,"10U",904,6242.02186507732,4823.96124551639,1540.21453663488,45425.0155454676,0.924010963129808,5767.69663542741,66366.0013355455
10890854,"10U",904,17952.3775048275,8236.09725025328,2061.11,59659.0989999999,1.57759230750674,28321.5326530728,325881.715472582
10891042,"10U",1006,550.774245232344,7828.79166673151,1086.222,59659.0989999999,1.49957451147492,825.92701972726,9503.52925249171
10891056,"10U",1006,42740.7674402562,9361.23598174136,1910.07387914771,59659.0989999999,1.79310824348223,76638.8224298802,881844.610289416
10897766,"17",1702,468511.671267152,2876.73292057598,35.163,59659.0989999999,0.551026971677939,258162.567414109,2970547.58195044
10897791,"17",1702,6349.12678605691,715.493313528792,35.163,12874.45,0.137049953782517,870.147532588442,10012.3525837289
10897893,"17",1701,39598.9267506897,678.66494831695,35.163,14883.374,0.129995624056813,5147.68719493595,59231.8627085305
10898015,"10U",1005,1932.92144010216,9235.80863392853,1548.435,59659.0989999999,1.76908312417534,3419.49870004142,39346.4617920266
10898044,"10U",1005,749.163252562284,8955.08438700812,1548.435,59659.0989999999,1.7153114895023,1285.048334633,14786.4086624546
10898082,"10U",1005,30827.2916093767,9453.49514565166,1910.07387914771,59659.0989999999,1.81078012651851,55821.44700065,642309.479912979
10904981,"10U",904,33299.0414809903,3486.23299657052,35.163,21034.0951704739,0.667774334184396,22236.2452539469,255861.35601454
10905117,"10U",1005,39261.4577424573,8955.08438700812,1548.435,59659.0989999999,1.7153114895023,67345.6295602458,774912.486534968
10905371,"09",902,151410.794320174,6107.70946750739,226,59659.0989999999,1.16990792843412,177136.688725678,2038223.30882202
10905394,"09",902,27903.0654507577,6158.284554304,226,59659.0989999999,1.17959538906717,32914.3273465533,378728.707613115
10912113,"10U",1003,9042.44021366909,9284.84695016657,2055.30273270903,59659.0989999999,1.7784762224013,16081.7649124958,185044.827965633
10912217,"10U",1005,76416.2844696119,9504.55844178891,1910.07387914771,59659.0989999999,1.82056110174674,139120.515045389,1600790.20636977
10919258,"10U",1005,22502.1684800796,9065.05241971386,1548.435,59659.0989999999,1.73637543729175,39072.212634611,449584.414680151
10919328,"10U",1006,17166.5768273678,7819.29524597539,1086.222,59659.0989999999,1.49775550911513,25711.3350158382,295847.476359742
10919342,"10U",1006,7251.04195863381,7868.64216959996,1086.222,59659.0989999999,1.50720771988241,10928.8264172442,125752.54117002
10919343,"10U",1006,8571.22206351161,9316.68370543356,1910.07387914771,59659.0989999999,1.78457442870935,15295.9837173322,176003.236643483
10926010,"17",1711,21850.3628333807,1054.88492450632,35.163,53582.682,0.20205909323798,4415.06450103375,50801.9396811449
10926036,"17",1702,27513.0188194974,664.86731392629,35.163,14945.164,0.127352741000057,3503.85835984914,40317.1462176041
10926261,"10U",1003,2998.17918508034,9130.38366535498,2055.30273270903,59659.0989999999,1.74888938260245,5243.48374392667,60334.1456994923
10926329,"10U",1005,11820.1262256682,9065.05241971386,1548.435,59659.0989999999,1.73637543729175,20524.1768439384,236161.440854777
10926377,"10U",1005,7817.78647747636,9440.33469219012,1910.07387914771,59659.0989999999,1.80825929298372,14136.5850484591,162662.615860094
10926591,"09",902,56027.8354885206,6151.13526187918,226,59659.0989999999,1.17822596998544,66013.4508146465,759583.77179873
10926669,"09",903,16544.889213264,5710.21680360644,226,59659.0989999999,1.09376975888528,18096.2994855754,208225.070030773
10933614,"09",901,19390.6266434137,6598.38011517139,1038.01427303955,59659.0989999999,1.26389397737863,24507.6962322081,281997.806695903
10940173,"17",1711,23527.8762056231,804.181339343682,35.163,15842.5933550241,0.154037799244059,3624.18227160085,41701.6533081751
10940180,"17",1702,7451.94882491231,700.082949788413,35.163,14945.164,0.134098158708466,999.292616210459,11498.3604884257
10940274,"17",1701,8178.85873052478,704.124050853076,35.163,14884.9156320821,0.134872215857108,1103.10080016813,12692.8293571346
10940358,"10U",1005,14570.4204394498,3972.66427354486,176.729,19194.1607114234,0.760948348206851,11087.3373660787,127576.447402785
10947226,"17",1711,33817.8252239749,2476.4267885729,176.729,53726.7727002851,0.474349893286664,16041.4817861795,184581.310172675
10947311,"17",1702,141922.892275661,2698.37767151573,35.163,45501.5380454794,0.516863719305919,73354.7939562516,844056.936657609
10947808,"09",902,60745.607250087,6151.13526187918,226,59659.0989999999,1.17822596998544,71572.052024588,823543.816620922
10954295,"17",1711,34207.9368978441,2805.21579367085,176.729,59659.0989999999,0.537328144936056,18380.8872754082,211499.679434485
10954305,"17",1711,68764.0501524955,2561.48928664664,176.729,60972.6147610427,0.490643283048947,33738.6193225628,388213.423235069
10954478,"17",1701,22170.2940430194,631.517172678391,35.163,14883.374,0.120964651509572,2681.82189277859,30858.3836092569
10954698,"10U",1006,54252.3842394948,7825.75163853633,1086.222,59659.0989999999,1.49899220593024,81323.9011281354,935753.468330891
10961381,"17",1711,235887.262652293,1147.09762481775,35.163,59659.0989999999,0.219722076353104,51829.6391352118,596377.742709315
10961597,"10U",1003,52726.2541067116,9148.24442871874,1833.18589755573,59659.0989999999,1.7523105421678,92392.7709202091,1063117.41859339
